Site Name ,M4
Site Number ,2
Logger ,Capacitive Water Level
Logger Serial Number ,42804


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,12/06/2017 , 13:59:16,1569,1569
2,12/06/2017 , 13:59:26,1568,1568
3,12/06/2017 , 13:59:36,1568,1568
4,12/06/2017 , 13:59:46,1568,1568
5,12/06/2017 , 13:59:56,1571,1571
6,12/06/2017 , 14:00:06,1571,1571
7,12/06/2017 , 14:00:16,1571,1571
8,12/06/2017 , 14:00:26,1574,1574
9,12/06/2017 , 14:00:36,1572,1572
10,12/06/2017 , 14:00:46,1572,1572
11,12/06/2017 , 14:00:56,1573,1573
12,12/06/2017 , 14:01:06,1571,1571
13,12/06/2017 , 14:01:16,1572,1572
14,12/06/2017 , 14:01:26,1571,1571
15,12/06/2017 , 14:01:36,1570,1570
16,12/06/2017 , 14:01:46,1571,1571
17,12/06/2017 , 14:01:56,1578,1578
18,12/06/2017 , 14:02:06,1575,1575
19,12/06/2017 , 14:02:16,1572,1572
20,12/06/2017 , 14:02:26,1576,1576
21,12/06/2017 , 14:02:36,1575,1575
22,12/06/2017 , 14:02:46,1576,1576
23,12/06/2017 , 14:02:56,1581,1581
24,12/06/2017 , 14:03:06,1579,1579
25,12/06/2017 , 14:03:16,1581,1581
26,12/06/2017 , 14:03:26,1589,1589
27,12/06/2017 , 14:03:36,1586,1586
28,12/06/2017 , 14:03:46,1584,1584
29,12/06/2017 , 14:03:56,1600,1600
30,12/06/2017 , 14:04:06,1599,1599
31,12/06/2017 , 14:04:16,1594,1594
32,12/06/2017 , 14:04:26,1604,1604
33,12/06/2017 , 14:04:36,1610,1610
34,12/06/2017 , 14:04:46,1610,1610
35,12/06/2017 , 14:04:56,1626,1626
36,12/06/2017 , 14:05:06,1625,1625
37,12/06/2017 , 14:05:16,1628,1628
38,12/06/2017 , 14:05:26,1643,1643
39,12/06/2017 , 14:05:36,1644,1644
40,12/06/2017 , 14:05:46,1643,1643
41,12/06/2017 , 14:05:56,1658,1658
42,12/06/2017 , 14:06:06,1656,1656
43,12/06/2017 , 14:06:16,1657,1657
44,12/06/2017 , 14:06:26,1670,1670
45,12/06/2017 , 14:06:36,1667,1667
46,12/06/2017 , 14:06:46,1668,1668
47,12/06/2017 , 14:06:56,1674,1674
48,12/06/2017 , 14:07:06,1683,1683
49,12/06/2017 , 14:07:16,1684,1684
50,12/06/2017 , 14:07:26,1692,1692
51,12/06/2017 , 14:07:36,1698,1698
52,12/06/2017 , 14:07:46,1698,1698
53,12/06/2017 , 14:07:56,1706,1706
54,12/06/2017 , 14:08:06,1715,1715
55,12/06/2017 , 14:08:16,1713,1713
56,12/06/2017 , 14:08:26,1722,1722
57,12/06/2017 , 14:08:36,1728,1728
58,12/06/2017 , 14:08:46,1729,1729
59,12/06/2017 , 14:08:56,1737,1737
60,12/06/2017 , 14:09:06,1744,1744
61,12/06/2017 , 14:09:16,1744,1744
62,12/06/2017 , 14:09:26,1752,1752
63,12/06/2017 , 14:09:36,1758,1758
64,12/06/2017 , 14:09:46,1757,1757
65,12/06/2017 , 14:09:56,1769,1769
66,12/06/2017 , 14:10:06,1772,1772
67,12/06/2017 , 14:10:16,1773,1773
68,12/06/2017 , 14:10:26,1780,1780
69,12/06/2017 , 14:10:36,1786,1786
70,12/06/2017 , 14:10:46,1786,1786
71,12/06/2017 , 14:10:56,1787,1787
72,12/06/2017 , 14:11:06,1801,1801
73,12/06/2017 , 14:11:16,1801,1801
74,12/06/2017 , 14:11:26,1809,1809
75,12/06/2017 , 14:11:36,1815,1815
76,12/06/2017 , 14:11:46,1816,1816
77,12/06/2017 , 14:11:56,1828,1828
78,12/06/2017 , 14:12:06,1828,1828
79,12/06/2017 , 14:12:16,1829,1829
80,12/06/2017 , 14:12:26,1837,1837
81,12/06/2017 , 14:12:36,1844,1844
82,12/06/2017 , 14:12:46,1844,1844
83,12/06/2017 , 14:12:56,1849,1849
84,12/06/2017 , 14:13:06,1858,1858
85,12/06/2017 , 14:13:16,1858,1858
86,12/06/2017 , 14:13:26,1877,1877
87,12/06/2017 , 14:13:36,1871,1871
88,12/06/2017 , 14:13:46,1872,1872
89,12/06/2017 , 14:13:56,1886,1886
90,12/06/2017 , 14:14:06,1887,1887
91,12/06/2017 , 14:14:16,1887,1887
92,12/06/2017 , 14:14:26,1897,1897
93,12/06/2017 , 14:14:36,1904,1904
94,12/06/2017 , 14:14:46,1904,1904
95,12/06/2017 , 14:14:56,1908,1908
96,12/06/2017 , 14:15:06,1917,1917
97,12/06/2017 , 14:15:16,1918,1918
98,12/06/2017 , 14:15:26,1925,1925
99,12/06/2017 , 14:15:36,1931,1931
100,12/06/2017 , 14:15:46,1933,1933
101,12/06/2017 , 14:15:56,1941,1941
102,12/06/2017 , 14:16:06,1946,1946
103,12/06/2017 , 14:16:16,1947,1947
104,12/06/2017 , 14:16:26,1948,1948
105,12/06/2017 , 14:16:36,1958,1958
106,12/06/2017 , 14:16:46,1959,1959
107,12/06/2017 , 14:16:56,1964,1964
108,12/06/2017 , 14:17:06,1973,1973
109,12/06/2017 , 14:17:16,1972,1972
110,12/06/2017 , 14:17:26,1976,1976
111,12/06/2017 , 14:17:36,1986,1986
112,12/06/2017 , 14:17:46,1986,1986
113,12/06/2017 , 14:17:56,1995,1995
114,12/06/2017 , 14:18:06,2001,2001
115,12/06/2017 , 14:18:16,2002,2002
116,12/06/2017 , 14:18:26,2005,2005
117,12/06/2017 , 14:18:36,2016,2016
118,12/06/2017 , 14:18:46,2016,2016
119,12/06/2017 , 14:18:56,2016,2016
120,12/06/2017 , 14:19:06,2016,2016
121,12/06/2017 , 14:19:16,2016,2016
