Fill Complete Time,Volume,,
20:30:00,0.5,,Completed 3/8
20:30:30,1,,
20:31:00,1.5,,
20:31:30,2,,
20:32:00,2.5,,
20:32:30,3,,
20:33:00,3.5,,
20:33:30,4,,
20:34:00,4.5,,
20:34:30,5,,
20:35:00,5.5,,
20:35:30,6,,
20:36:00,6.5,,
20:36:30,7,,
20:37:00,7.5,,
20:37:30,8,,
20:38:00,8.5,,
20:38:30,9,,
20:39:00,9.5,,
20:39:30,10,,
20:40:00,10.5,,
20:40:30,11,,
20:41:00,11.5,,
20:41:30,12,,
20:42:00,12.5,,
20:42:30,13,,
20:43:00,13.5,,
20:43:30,14,,
20:44:00,14.5,,
20:44:30,15,,
20:45:00,15.5,,
20:45:30,16,,
20:46:00,16.5,,
20:46:30,17,,
20:47:00,17.5,,
20:47:30,18,,
20:48:00,18.5,,
20:48:30,19,,