Fill Complete Time,Volume,,Start Time: ,14:25:00
14:25:00,0.5,,,
14:25:30,1,,,
14:26:00,1.5,,,
14:26:30,2,,,
14:27:00,2.5,,,
14:27:30,3,,,
14:28:00,3.5,,,
14:28:30,4,,,
14:29:00,4.5,,,
14:29:30,5,,,
14:30:00,5.5,,,
14:30:30,6,,,
14:31:00,6.5,,,
14:31:30,7,,,
14:32:00,7.5,,,
14:32:30,8,,,
14:33:00,8.5,,,
14:33:30,9,,,
14:34:00,9.5,,,
14:34:30,10,,,
14:35:00,10.5,,,
14:35:30,11,,,
14:36:00,11.5,,,
14:36:30,12,,,
14:37:00,12.5,,,
14:37:30,13,,,
14:38:00,13.5,,,
14:38:30,14,,,
14:39:00,14.5,,,
14:39:30,15,,,
14:40:00,15.5,,,
14:40:30,16,,,
14:41:00,16.5,,,
14:41:30,17,,,
14:42:00,17.5,,,
14:42:30,18,,,
14:43:00,18.5,,,
14:43:30,19,,,