Date,Site,Location,Point,Kfs (mm/hr)
6/4/2016,MAT,Upper,A,1079.814625
6/4/2016,MAT,Middle ,A,359.9382083
6/4/2016,MAT,Lower,A,1295.77755
6/7/2016,PAS,Upper,A,95.98352222
6/7/2016,PAS,Upper,D,275.697351
6/7/2016,PAS,Middle ,A,370.2221571
6/7/2016,PAS,Lower,A,30.40282671
6/7/2016,PAS,Lower,B,209.3805037
6/12/2016,MAT,Upper,A,2159.62925
6/12/2016,MAT,Middle ,A,1295.77755
6/12/2016,MAT,Lower,A,1619.721937
6/15/2016,PAS,Upper,A,61.79374529
6/15/2016,PAS,Middle ,A,169.2979323
6/15/2016,PAS,Lower,A,6.601895864
6/22/2016,MAT,Upper,A,1765.53558
6/22/2016,MAT,Middle ,A,484.6568258
6/22/2016,MAT,Lower,A,988.6999246
6/28/2016,PAS,Upper,A,28.67459178
6/28/2016,PAS,Middle ,A,132.8897748
6/28/2016,PAS,Lower,A,35.978891
6/30/2016,MAT,Upper,A,2746.38868
6/30/2016,MAT,Middle ,A,726.9852387
6/30/2016,MAT,Lower,A,797.3386489
7/3/2016,PAS,Upper,A,42.10817396
7/3/2016,PAS,Middle ,A,170.4655042
7/3/2016,PAS,Lower,A,28.31328536
7/6/2016,MAT,Upper,A,588.5118599
7/6/2016,MAT,Upper,B,1544.843632
7/6/2016,MAT,Upper,C,2247.045283
7/6/2016,MAT,Middle ,A,588.5118599
7/6/2016,MAT,Middle ,B,368.9178823
7/6/2016,MAT,Middle ,C,1300.920953
7/6/2016,MAT,Lower,A,950.6730045
7/6/2016,MAT,Lower,B,2059.79151
7/6/2016,MAT,Lower,C,1901.346009
7/14/2016,MAT,Upper,A,2059.79151
7/14/2016,MAT,Upper,B,120.5731615
7/14/2016,MAT,Upper,C,882.7677899
7/14/2016,MAT,Upper,D,772.4218161
7/14/2016,MAT,Middle ,A,96.17703547
7/14/2016,MAT,Middle ,B,1177.02372
7/14/2016,MAT,Middle ,C,254.8195682
7/14/2016,MAT,Middle ,D,2059.79151
7/14/2016,MAT,Lower,A,433.6403178
7/14/2016,MAT,Lower,B,494.3499623
7/14/2016,MAT,Lower,C,112.3522642
7/14/2016,MAT,Lower,D,15.6836917
7/17/2016,PAS,Upper,A,142.0545869
7/17/2016,PAS,Upper,B,83.78812921
7/17/2016,PAS,Upper,C,363.4926194
7/17/2016,PAS,Upper,D,8.157590137
7/17/2016,PAS,Middle,A,23.51807623
7/17/2016,PAS,Middle,B,260.1841907
7/17/2016,PAS,Middle,C,71.02729344
7/17/2016,PAS,Middle,D,42.46992803
7/17/2016,PAS,Lower,A,110.8407987
7/19/2016,MAT,Upper,A,797.3386489
7/19/2016,MAT,Upper,B,514.9478774
7/19/2016,MAT,Upper,C,1235.874906
7/19/2016,MAT,Upper,D,348.1337763
7/19/2016,MAT,Middle ,A,37.85221764
7/19/2016,MAT,Middle ,B,514.9478774
7/19/2016,MAT,Middle ,C,1765.53558
7/19/2016,MAT,Middle ,D,797.3386489
7/19/2016,MAT,Lower,A,237.6682511
7/19/2016,MAT,Lower,B,2059.79151
7/19/2016,MAT,Lower,C,38.98659009
7/19/2016,MAT,Lower,D,2471.749812
7/21/2016,PAS,Upper,A,71.02729344
7/21/2016,PAS,Upper,B,10.43372652
7/21/2016,PAS,Upper,C,187.2537736
7/21/2016,PAS,Upper,D,157.4362937
7/21/2016,PAS,Middle ,A,168.1462457
7/21/2016,PAS,Middle ,B,75.12917361
7/21/2016,PAS,Middle ,C,222.6801632
7/21/2016,PAS,Middle ,D,213.0818803
7/21/2016,PAS,Lower,A,14.83643344
7/21/2016,PAS,Lower,B,525.9042152
7/21/2016,PAS,Lower,C,118.2655412
7/21/2016,PAS,Lower,D,107.936673
7/24/2016,MAT,Upper,A,2746.38868
7/24/2016,MAT,Upper,B,650.4604767
7/24/2016,MAT,Upper,C,749.0150944
7/24/2016,MAT,Upper,D,574.8255376
7/24/2016,MAT,Middle ,A,72.48533172
7/24/2016,MAT,Middle ,B,1235.874906
7/24/2016,MAT,Middle ,C,1123.522642
7/24/2016,MAT,Middle ,D,405.2048871
7/24/2016,MAT,Lower,A,1074.673831
7/24/2016,MAT,Lower,B,1029.895755
7/24/2016,MAT,Lower,C,252.2193685
7/24/2016,MAT,Lower,D,441.3838949